country,city,year,PM2.5 (μg/m3),PM10 (μg/m3),latitude,longitude
South Africa,Sedibeng,2015,30.64,49.87,-26.54794,28.101508308040273
South Africa,Sedibeng,2016,59.65,90.25,-26.54794,28.101508308040273
South Africa,Sedibeng,2018,32.97,62.95,-26.54794,28.101508308040273
South Africa,Sedibeng,2019,0.0,74.49,-26.54794,28.101508308040273
South Africa,Sedibeng,2020,28.41,53.71,-26.54794,28.101508308040273
South Africa,Sedibeng,2021,38.87,67.67,-26.54794,28.101508308040273
South Africa,Umkhanyakude,2012,0.0,22.6,-27.66222075,32.3027757724567
South Africa,Umkhanyakude,2013,0.0,21.37,-27.66222075,32.3027757724567
South Africa,Umkhanyakude,2020,0.0,24.92,-27.66222075,32.3027757724567
South Africa,Uthungulu,2011,0.0,23.35,-28.7503557,32.050220574984635
South Africa,Uthungulu,2012,0.0,26.65,-28.7503557,32.050220574984635
South Africa,Uthungulu,2013,0.0,26.9,-28.7503557,32.050220574984635
South Africa,Uthungulu,2014,0.0,28.03,-28.7503557,32.050220574984635
South Africa,Uthungulu,2015,0.0,30.5,-28.7503557,32.050220574984635
South Africa,Uthungulu,2016,0.0,24.63,-28.7503557,32.050220574984635
South Africa,Uthungulu,2019,6.91,19.89,-28.7503557,32.050220574984635
South Africa,Uthungulu,2020,0.0,20.07,-28.7503557,32.050220574984635
South Africa,Uthungulu,2021,0.0,17.58,-28.7503557,32.050220574984635
South Africa,Waterberg,2011,70.42,64.54,52.014329700000005,5.910263261249996
South Africa,Waterberg,2012,43.31,85.22,52.014329700000005,5.910263261249996
South Africa,Waterberg,2013,17.82,47.49,52.014329700000005,5.910263261249996
South Africa,Waterberg,2014,12.87,29.58,52.014329700000005,5.910263261249996
South Africa,Waterberg,2015,10.59,28.64,52.014329700000005,5.910263261249996
South Africa,Waterberg,2016,12.82,30.56,52.014329700000005,5.910263261249996
South Africa,Waterberg,2017,15.48,41.72,52.014329700000005,5.910263261249996
South Africa,Waterberg,2018,16.62,43.91,52.014329700000005,5.910263261249996
South Africa,Waterberg,2019,16.33,48.62,52.014329700000005,5.910263261249996
South Africa,Waterberg,2020,15.57,41.06,52.014329700000005,5.910263261249996
South Africa,Waterberg,2021,18.86,44.71,52.014329700000005,5.910263261249996
South Africa,West Coast,2011,0.0,22.22,-42.5638896,171.45233400435404
South Africa,West Coast,2014,0.0,23.98,-42.5638896,171.45233400435404
South Africa,West Coast,2015,7.47,24.64,-42.5638896,171.45233400435404
South Africa,West Coast,2016,8.42,33.28,-42.5638896,171.45233400435404
South Africa,West Coast,2017,6.83,20.49,-42.5638896,171.45233400435404
South Africa,West Coast,2018,6.1,17.99,-42.5638896,171.45233400435404
South Africa,West Rand,2016,0.0,0.0,43.3538584,42.4356862
