city,year,PM2.5 (μg/m3),PM10 (μg/m3)
Nelson Mandela Bay,2019,10.71,29.28
Nelson Mandela Bay,2020,9.99,26.51
Nelson Mandela Bay,2021,14.4,25.99
Ngaka Modiri Molema,2018,0.0,0.0
Ngaka Modiri Molema,2019,26.53,67.64
Ngaka Modiri Molema,2020,13.18,29.41
Nkangala,2010,25.25,45.71
Nkangala,2011,0.0,0.0
Nkangala,2012,20.75,49.94
Nkangala,2013,22.14,57.14
Nkangala,2014,14.8,45.2
Nkangala,2015,21.34,47.38
Nkangala,2016,15.58,43.06
Nkangala,2017,0.0,0.0
Nkangala,2018,21.07,56.67
Nkangala,2019,27.11,89.75
Nkangala,2020,0.0,0.0
Nkangala,2021,0.0,76.85
Richards Bay,2012,13.0,0.0
Richards Bay,2017,0.0,28.41
Richards Bay,2018,0.0,28.37
Richards Bay,2019,0.0,23.61
Sedibeng,2010,42.56,67.06
Sedibeng,2011,0.0,0.0
Sedibeng,2012,36.99,59.87
Sedibeng,2013,29.74,55.96
Sedibeng,2014,32.63,51.37
Sedibeng,2015,30.64,49.87
Sedibeng,2016,59.65,90.25
Sedibeng,2018,32.97,62.95
Sedibeng,2019,0.0,74.49
Sedibeng,2020,28.41,53.71
Sedibeng,2021,38.87,67.67
Umkhanyakude,2012,0.0,22.6
Umkhanyakude,2013,0.0,21.37
Umkhanyakude,2020,0.0,24.92
Uthungulu,2011,0.0,23.35
Uthungulu,2012,0.0,26.65
Uthungulu,2013,0.0,26.9
Uthungulu,2014,0.0,28.03
Uthungulu,2015,0.0,30.5
Uthungulu,2016,0.0,24.63
Uthungulu,2019,6.91,19.89
Uthungulu,2020,0.0,20.07
Uthungulu,2021,0.0,17.58
Waterberg,2011,70.42,64.54
Waterberg,2012,43.31,85.22
Waterberg,2013,17.82,47.49
Waterberg,2014,12.87,29.58
Waterberg,2015,10.59,28.64
Waterberg,2016,12.82,30.56
Waterberg,2017,15.48,41.72
Waterberg,2018,16.62,43.91
Waterberg,2019,16.33,48.62
Waterberg,2020,15.57,41.06
Waterberg,2021,18.86,44.71
West Coast,2011,0.0,22.22
West Coast,2014,0.0,23.98
West Coast,2015,7.47,24.64
West Coast,2016,8.42,33.28
West Coast,2017,6.83,20.49
West Coast,2018,6.1,17.99
West Rand,2016,0.0,0.0
